FIELD;VALID INVALID;ID TEST;CRITERIA;DNI;ACCESS TYPE;NAME SURNAME;VALIDITY;email;EXPECTED RESULT
DNI;VALID;RF1 1;All valid values for a guest;53935158C;Guest;Marta Lopez;5;uc3m@gmail.com;cd5fbb92a51e8eade1da3dc69dd49b18
DNI;INVALID;RF1 2;INVALID LETTER;53935158D;Guest;Marta Lopez;5;uc3m@gmail.com;DNI is not valid
DNI;INVALID;RF1 3;10 CHARACTERS;153935158C;Guest;Marta Lopez;5;uc3m@gmail.com;DNI is not valid
DNI;INVALID;RF1 4;8 CHARACTERS;53935158;Guest;Marta Lopez;5;uc3m@gmail.com;DNI is not valid
DNI;INVALID;RF1 5;LETTERS IN NUMERIC PART;Z5935158C;Guest;Marta Lopez;5;uc3m@gmail.com;DNI is not valid
DNI;INVALID;RF1 6;NUMBER INSTEAD OF LETTER;539351589;Guest;Marta Lopez;5;uc3m@gmail.com;DNI is not valid
ACCESS;VALID;RF1 7;Valid resident;05270358T;Resident;Pedro Martin;0;uc3m@gmail.com;697aff5b272a462193fb8262aa4d5e06
ACCESS;INVALID;RF1 8;OTHER VALUE DIFFERENT THAN THE VALID ONES;05270358T;Other;Pedro Martin;0;uc3m@gmail.com;type of visitor invalid
NAME;VALID;RF1 9;NAME AND SURNAME WITH TWO SPACES;54678213Z;Resident;Pedro Martin Martin;0;uc3m@gmail.com;91e64d8a9e913993cf4492354cfbbb94
NAME;INVALID;RF1 10;ONLY NAME (0 SPACES);05270358T;Resident;Pedro ;0;uc3m@gmail.com;Invalid full name
NAME;INVALID;RF1 11;INVALID CHARACTERS IN THE NAME;05270358T;Resident;P3dr% Garc$a;0;uc3m@gmail.com;Invalid full name
EMAIL;INVALID;RF1 12;INVALID EMAIL ADDRESS;53935158C;Guest;Marta Lopez;5;uc3mgmail.com;Email invalid
EMAIL;INVALID;RF1 13;INVALIDE EMAIL TWO @;53935158C;Guest;Marta Lopez;5;uc3m@gm@il.com;Email invalid
VALIDITY;VALID;RF1 14;VALID GUEST (MIN);87654321X;Guest;Juan Lopez;2;pepe@gmail.com;5b2333d9535f8a1e4c32fa254f613b42
VALIDITY;VALID;RF1 15;VALID GUEST (MIN+1);65487321L;Guest;Antonio Perez;3;perez@uc3m.es;1c60251a866dbb6ee3f43962d47986a3
VALIDITY;VALID;RF1 16;VALID GUEST (MAX-1);32165487X;Guest;Lucas Garcia;14;lucas@uc3m.es;b6f9b24752418dea0ef8eac6df28d3a6
VALIDITY;VALID;RF1 17;VALID GUEST (MAX);87654123L;Guest;Maria Montero;15;maria@uc3m.es;e90ec23d0a4c2dbab6f958f80603f18e
VALIDITY;INVALID;RF1 18;INVALID GUEST (MAX+1);87654123L;Guest;Maria Montero;16;maria@uc3m.es;days invalid
VALIDITY;INVALID;RF1 19;INVALID GUEST (MIN-1);87654321X;Guest;Juan Lopez;1;pepe@gmail.com;days invalid
VALIDITY;INVALID;RF1 30;INVALID RESIDENT -1;05270358T;Resident;Pedro Martin;-1;uc3m@gmail.com;days invalid
VALIDITY;INVALID;RF1 21;INVALID RESIDENT +1;05270358T;Resident;Pedro Martin;1;uc3m@gmail.com;days invalid
